chunk_id,text,source_type,label
interview_lidl_01_013,"Sarah: Yeah so some coupons you have to tap to activate before you go shop, and if you forget — which I always do — then it doesn't apply at the till. I had this happen with a thing for, I think it was Pringles or something, and the coupon said £1 off but at the till it didn't come off and I was like, what? And I checked later and it was because I hadn't tapped activate.",interview,
interview_lidl_01_014,Which is rubbish frankly. Just give me the discount. M: Has anything like that ever made you not trust the app?,interview,
interview_lidl_01_015,Sarah: I mean — yeah but I still use it. Because the points add up. I cashed in a £5 voucher last month from points and that was nice.,interview,
interview_lidl_01_016,"But also I got like, an email or a notification or something saying I had reached some milestone and there was a scratch card thing and the prize was like 50p off, and I was like, you woke me up at 8am for 50p off coffee. So the notifications are a bit much. M: Do you get a lot of notifications from the app?",interview,
interview_lidl_01_017,Sarah: Loads. I turned them off actually. Or — wait.,interview,
interview_lidl_01_018,I think I turned them off. Maybe I just turned off the sound. I don't know.,interview,
interview_lidl_01_019,"They still pop up sometimes. There's one on a Thursday I think, the weekly offers? Which is actually useful.",interview,
interview_lidl_01_020,So I haven't turned that off. M: You mentioned weekly offers — do you find those? Sarah: I see them in store more than in the app honestly.,interview,
interview_lidl_01_021,"The big yellow signs. The app version is fine but the in-store experience is, like, you go down the aisle and the things are just there with the discount. I don't really plan around it.",interview,
interview_lidl_01_022,M: What about searching for products? Sarah: In the app? Can you search for products in the app?,interview,
interview_lidl_01_023,I didn't know that. M: I think you can. Sarah: Oh.,interview,
interview_lidl_01_024,"I just go and look in the store. I wouldn't think to search in an app for whether they have, like, oat milk. I'd just go.",interview,
interview_lidl_01_025,"M: How would you compare Lidl Plus to other supermarket apps you've used? Sarah: I had Tesco Clubcard for ages. The Tesco one is, I think, more useful?",interview,
interview_lidl_01_026,Because the Clubcard prices are everywhere in the store and it's clear. With Lidl it feels like the discounts are kind of hidden behind the app and you have to remember to do stuff. Also Tesco lets you pay through the app I think?,interview,
interview_lidl_01_027,I don't use that. I have Aldi too — the Aldi app is — does Aldi have an app? I'm not sure.,interview,
interview_lidl_01_028,"I think it's just for the leaflet. M: You mentioned earlier you'd say you're a ""regular user."" How often do you actually open it outside of being at the checkout?",interview,
interview_lidl_01_029,Sarah: Honestly? Maybe — once a week? Twice if I'm bored.,interview,
interview_lidl_01_030,"I don't really browse it. It's a checkout app for me. Open at the till, scan, close.",interview,
interview_lidl_01_031,"M: Earlier you said the coupons are a key part of why you use it. Sarah: Did I? I mean, the points are.",interview,
interview_lidl_01_032,The coupons I rarely use to be honest. I keep saying I'll start using them more. M: What would make you actually use the coupons?,interview,
interview_lidl_01_033,"Sarah: If they were just on. If they applied automatically based on what I'm buying. Like, the till knows I bought Pringles, the app should know there's a Pringles coupon, just give me the money off.",interview,
interview_lidl_01_034,Don't make me do this whole tap-to-activate ritual. I'm tired. M: Anything else about the app that frustrates you?,interview,
interview_lidl_01_035,Sarah: Sometimes it doesn't load. The QR code wheel just spins. And then the cashier is staring at you and there's a queue.,interview,
interview_lidl_01_036,"That's stressful. Once I had to actually close the app and reopen it and by then I just used my card and skipped the points which is fine but it's like, the one job you have to do is show a code. M: And the things you genuinely like?",interview,
interview_lidl_01_037,Sarah: The points voucher when it lands. That's a genuinely good moment. £5 off feels like a treat.,interview,
interview_lidl_01_038,"The scratch cards are silly but kind of fun, I won't lie. And when I do remember to use a coupon and it works, that's satisfying. Like a tiny win.",interview,
interview_lidl_01_039,"M: Last question — if you were redesigning the app, what's the first thing you'd change? Sarah: Make the QR code be on the home screen. Not three taps in.",interview,
interview_lidl_01_040,"Just — open app, code is right there. That's it. M: Brilliant.",interview,
interview_lidl_01_041,Thanks Sarah. Sarah: No worries.,interview,
tickets_revolut_001,"T-10847 | verification_stuck | Hi I've been trying to verify my account for THREE DAYS now. I uploaded my passport, took the selfie, did the video. The app keeps saying ""verification in progress"" but nothing is happening.",ticket,
tickets_revolut_002,"I urgently need to access my funds because I have rent due tomorrow. Please help, this is unacceptable. | Hi Maria, thanks for reaching out.",ticket,
tickets_revolut_003,I can see your verification is currently in our review queue. Could you please re-upload a clearer photo of your passport? The current image appears slightly blurred at the edges.,ticket,
tickets_revolut_004,"Once you submit a new photo, our team will prioritise the review. | Updated the photo as requested 4 hours ago. Still nothing.",ticket,
tickets_revolut_005,"I'm at the point where I'm going to dispute the deposit I made and go back to my old bank. This is the worst onboarding experience I've ever had. | unresolved
T-10912 | transfer_delayed | My GBP transfer to a UK bank account was supposed to arrive instantly via Faster Payments.",ticket,
tickets_revolut_006,It's been 6 hours. The recipient hasn't received it. Reference: 8847221.,ticket,
tickets_revolut_007,"Please advise. | Hello, I've checked the transfer reference and can confirm the payment was sent successfully on our side at 14:23 GMT. Sometimes recipient banks have delayed processing, particularly for new payee setups.",ticket,
tickets_revolut_008,"I'd recommend asking the recipient to check with their bank. The funds should appear within 24 hours. | resolved
T-10923 | card_abroad | I'm in Thailand right now and my card just got declined at the hotel.",ticket,
tickets_revolut_009,I've travelled here many times before with no issues. Can you check what's happening? I have no cash and the hotel needs payment by midnight local time.,ticket,
tickets_revolut_010,"| Hi David, I can see a security flag was triggered due to unusual location activity. I've manually verified the transaction and removed the temporary block. Please try the transaction again.",ticket,
tickets_revolut_011,"If it fails, contact us immediately and we'll escalate. | Worked the second time, thank you for the quick response. Just frustrating that I had to contact support at all - I had notified the app I'd be travelling.",ticket,
tickets_revolut_012,"| resolved
T-10956 | dispute | I want to dispute a charge for 89.99 GBP from ""DIGITAL SUBSCRIPTION CO"" on the 14th. I never signed up for this. I think my card details have been compromised.",ticket,
tickets_revolut_013,"Please refund and freeze the card. | Hi, I've initiated a dispute on the transaction and frozen your card immediately. A new card will be issued and dispatched within 5-7 business days.",ticket,
tickets_revolut_014,"The disputed amount has been provisionally credited back to your account while we investigate. You'll receive an update within 10 business days. | resolved
T-11003 | fees_question | Can someone please explain why I was charged a 2.50 fee for an ATM withdrawal in Spain when I'm on the Plus plan?",ticket,
tickets_revolut_015,"Plus plan was supposed to include free ATM withdrawals up to 200 EUR per month. | Hello Linda, the Plus plan includes free ATM withdrawals up to a monthly limit of 200 EUR. Looking at your account, you've withdrawn 247 EUR across 3 transactions this month, exceeding the limit by 47 EUR.",ticket,
tickets_revolut_016,The 2.50 fee is for the portion above the limit. Full details available in our fees schedule in the app. | Ok that makes sense but the app didn't warn me I was approaching the limit.,ticket,
tickets_revolut_017,"That would be useful, otherwise I have no way of tracking it. | resolved
T-11078 | premium_cancel | I want to cancel my Metal subscription. I've been paying 14.99 a month for over a year and I barely use any of the perks.",ticket,
tickets_revolut_018,"I've already tried to cancel through the app but it keeps showing me retention offers and I just want to stop being charged. | Hi James, I can process the cancellation directly. Your Metal subscription will end on the next billing date (Nov 28).",ticket,
tickets_revolut_019,"You'll retain Metal benefits until then. After that, your account will downgrade to Standard. Would you like a confirmation email?",ticket,
tickets_revolut_020,"| Yes please send confirmation. And thanks for not making me jump through more hoops to do this. | resolved
T-11102 | suspicious_activity | URGENT - I just got a notification of a 450 GBP transaction to ""APPLE.COM/BILL"" that I did not make.",ticket,
tickets_revolut_021,My phone is right next to me. Please help block any further charges and reverse this one. I'm panicking.,ticket,
tickets_revolut_022,"| Hi, I've immediately blocked your card and frozen your account. The transaction in question is being investigated. Please confirm: do you have any Apple subscriptions or family-shared subscriptions through someone else's Apple ID?",ticket,
tickets_revolut_023,| Oh god you're right. My son has my Apple ID for his iPad and he must have bought something. False alarm.,ticket,
tickets_revolut_024,"Please unfreeze. I'm so sorry. | resolved
T-11145 | transfer_delayed | My USD to GBP conversion has been ""processing"" for 2 days.",ticket,
tickets_revolut_025,"Amount: 4500 USD. I need this for a flight tomorrow. The app shows no error, just a spinner.",ticket,
tickets_revolut_026,"Why is this taking so long? | Hello, I've located the transaction. It's been held for compliance review due to the size of the conversion.",ticket,
tickets_revolut_027,I've escalated to the team to expedite. You should receive an update within 24 hours. | 24 hours later: still no update.,ticket,
tickets_revolut_028,I've now missed my flight booking deadline. Going to file a formal complaint and consider switching to Wise. This is unacceptable for a financial service.,ticket,
tickets_revolut_029,"| escalated
T-11189 | account_closure | I want to close my account permanently. I've been a customer for 4 years but recent issues have made me lose trust. Please process closure and confirm in writing.",ticket,
tickets_revolut_030,"I've already withdrawn all my funds. | Hi, sorry to see you go. Before I process the closure, would you mind sharing what specifically led to this decision?",ticket,
tickets_revolut_031,"Your feedback helps us improve. If you'd still like to proceed, I'll send a closure form to your registered email within 1 hour. | I appreciate the question.",ticket,
tickets_revolut_032,"The main issues were: (1) account frozen for 11 days without clear communication during a compliance review, (2) support response times that don't match the urgency of financial issues, (3) the constant upselling in the app feels disrespectful when basic things don't work. Please proceed with closure. | resolved
T-11234 | verification_stuck | Trying to add my partner as a beneficiary for international transfers.",ticket,
tickets_revolut_033,The verification keeps failing. We've been a couple for 8 years and share an address. Why is this so complicated?,ticket,
